#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  24
# Band-Index:    1
   0.73610     -4.289984     -4.289984
   0.69010     -4.375632     -4.375632
   0.64409     -4.516877     -4.516877
   0.59808     -4.668240     -4.668240
   0.55208     -4.765184     -4.765184
   0.50607     -4.560764     -4.560764
   0.46006     -4.330563     -4.330563
   0.41406     -4.143610     -4.143610
   0.36805     -4.037290     -4.037290
   0.32204     -3.974640     -3.974640
   0.27604     -3.927683     -3.927683
   0.23003     -3.889121     -3.889121
   0.18403     -3.857320     -3.857320
   0.13802     -3.832134     -3.832134
   0.09201     -3.813822     -3.813822
   0.04601     -3.802684     -3.802684
   0.00000     -3.798951     -3.798951
 
# Band-Index:   11
   0.00000     -3.798947     -3.798947
   0.04601     -3.797869     -3.797869
   0.09201     -3.794687     -3.794687
   0.13802     -3.789586     -3.789586
   0.18403     -3.782875     -3.782875
   0.23003     -3.775009     -3.775009
   0.27604     -3.766585     -3.766585
   0.32204     -3.758337     -3.758337
   0.36805     -3.751087     -3.751087
   0.41406     -3.879308     -3.879308
   0.46006     -3.992472     -3.992472
   0.50607     -4.058435     -4.058435
   0.55208     -4.107058     -4.107058
   0.59808     -4.146671     -4.146671
   0.64409     -4.178045     -4.178045
   0.69010     -4.195270     -4.195270
   0.73610     -4.162016     -4.162016
   0.78211     -4.068153     -4.068153
   0.82811     -3.990414     -3.990414
   0.87412     -3.961046     -3.961046
   0.87412     -3.961046     -3.961046
   0.90068     -3.959755     -3.959755
   0.92724     -3.955897     -3.955897
   0.95381     -3.949528     -3.949528
   0.98037     -3.940740     -3.940740
   1.00693     -3.929680     -3.929680
   1.03349     -3.916551     -3.916551
   1.06005     -3.901682     -3.901682
   1.08661     -3.885796     -3.885796
   1.11318     -3.873172     -3.873172
   1.13974     -3.923989     -3.923989
   1.16630     -4.019411     -4.019411
   1.19286     -4.110657     -4.110657
   1.21942     -4.193159     -4.193159
   1.24599     -4.264663     -4.264663
   1.27255     -4.323513     -4.323513
   1.29911     -4.368591     -4.368591
   1.32567     -4.399442     -4.399442
   1.35223     -4.416339     -4.416339
   1.37879     -4.420244     -4.420244
   1.37879     -4.420244     -4.420244
   1.43192     -4.395332     -4.395332
   1.48504     -4.339212     -4.339212
   1.53817     -4.267463     -4.267463
   1.59129     -4.202583     -4.202583
   1.64441     -4.223561     -4.223561
   1.69754     -4.309594     -4.309594
   1.75066     -4.263859     -4.263859
   1.80378     -4.213603     -4.213603
   1.85691     -4.160953     -4.160953
   1.91003     -4.107654     -4.107654
   1.96315     -3.924965     -3.924965
   2.01628     -3.791019     -3.791019
   2.06940     -3.773718     -3.773718
   2.12252     -3.774713     -3.774713
   2.17565     -3.780473     -3.780473
   2.22877     -3.787359     -3.787359
   2.28190     -3.793438     -3.793438
   2.33502     -3.797519     -3.797519
   2.38814     -3.798947     -3.798947
 
# Band-Index:   12
   2.38814     -3.108654     -3.108654
   2.33502     -3.111495     -3.111495
   2.28190     -3.124216     -3.124216
   2.22877     -3.152985     -3.152985
   2.17565     -3.205424     -3.205424
   2.12252     -3.294735     -3.294735
   2.06940     -3.435226     -3.435226
   2.01628     -3.620383     -3.620383
   1.96315     -3.738594     -3.738594
   1.91003     -3.771259     -3.771259
   1.85691     -3.803886     -3.803886
   1.80378     -3.847429     -3.847429
   1.75066     -3.902788     -3.902788
   1.69754     -3.965873     -3.965873
   1.64441     -4.015269     -4.015269
   1.59129     -3.968282     -3.968282
   1.53817     -3.863286     -3.863286
   1.48504     -3.778311     -3.778311
   1.43192     -3.727548     -3.727548
   1.37879     -3.709981     -3.709981
   1.37879     -3.709981     -3.709981
   1.35223     -3.712727     -3.712727
   1.32567     -3.718820     -3.718820
   1.29911     -3.730466     -3.730466
   1.27255     -3.745522     -3.745522
   1.24599     -3.763032     -3.763032
   1.21942     -3.782122     -3.782122
   1.19286     -3.801953     -3.801953
   1.16630     -3.821531     -3.821531
   1.13974     -3.837865     -3.837865
   1.11318     -3.804007     -3.804007
   1.08661     -3.780996     -3.780996
   1.06005     -3.784028     -3.784028
   1.03349     -3.785709     -3.785709
   1.00693     -3.786102     -3.786102
   0.98037     -3.785403     -3.785403
   0.95381     -3.783958     -3.783958
   0.92724     -3.782264     -3.782264
   0.90068     -3.780905     -3.780905
   0.87412     -3.780385     -3.780385
   0.87412     -3.780385     -3.780385
   0.82811     -3.779195     -3.779195
   0.78211     -3.775754     -3.775754
   0.73610     -3.770441     -3.770441
   0.69010     -3.763872     -3.763872
   0.64409     -3.756866     -3.756866
   0.59808     -3.750371     -3.750371
   0.55208     -3.745359     -3.745359
   0.50607     -3.742644     -3.742644
   0.46006     -3.742723     -3.742723
   0.41406     -3.745659     -3.745659
   0.36805     -3.699109     -3.699109
   0.32204     -3.509674     -3.509674
   0.27604     -3.356779     -3.356779
   0.23003     -3.251094     -3.251094
   0.18403     -3.184031     -3.184031
   0.13802     -3.143283     -3.143283
   0.09201     -3.120342     -3.120342
   0.04601     -3.110720     -3.110720
   0.00000     -3.108654     -3.108654
 
# Band-Index:   13
   0.00000     -3.096079     -3.096079
   0.04601     -3.098499     -3.098499
   0.09201     -3.103152     -3.103152
   0.13802     -3.109518     -3.109518
   0.18403     -3.118844     -3.118844
   0.23003     -3.129377     -3.129377
   0.27604     -3.140012     -3.140012
   0.32204     -3.149423     -3.149423
   0.36805     -3.156117     -3.156117
   0.41406     -3.158558     -3.158558
   0.46006     -3.161778     -3.161778
   0.50607     -3.184094     -3.184094
   0.55208     -3.223459     -3.223459
   0.59808     -3.288974     -3.288974
   0.64409     -3.370460     -3.370460
   0.69010     -3.450402     -3.450402
   0.73610     -3.519231     -3.519231
   0.78211     -3.572619     -3.572619
   0.82811     -3.607673     -3.607673
   0.87412     -3.620330     -3.620330
   0.87412     -3.620330     -3.620330
   0.90068     -3.618023     -3.618023
   0.92724     -3.611360     -3.611360
   0.95381     -3.601013     -3.601013
   0.98037     -3.587836     -3.587836
   1.00693     -3.572694     -3.572694
   1.03349     -3.556375     -3.556375
   1.06005     -3.598091     -3.598091
   1.08661     -3.703220     -3.703220
   1.11318     -3.776637     -3.776637
   1.13974     -3.771053     -3.771053
   1.16630     -3.764401     -3.764401
   1.19286     -3.756890     -3.756890
   1.21942     -3.748781     -3.748781
   1.24599     -3.740387     -3.740387
   1.27255     -3.732091     -3.732091
